[5/25/2022 10:43:56 AM | 633 ms] : ( d1_43.37403_False_0 )
[5/25/2022 10:43:56 AM | 666 ms] : ( d2_123.2184_False_0 )
[5/25/2022 10:43:56 AM | 681 ms] : ( d3_146.055_False_0 )
[5/25/2022 10:43:56 AM | 696 ms] : ( d4_261.1673_False_0 )
[5/25/2022 10:43:56 AM | 711 ms] : ( d5_537.7933_False_0 )
[5/25/2022 10:43:56 AM | 727 ms] : ( d6_3741.73_False_0 )
[5/25/2022 10:43:56 AM | 854 ms] : ( d1_37.25355_False_0 )
[5/25/2022 10:43:56 AM | 870 ms] : ( d2_18.97566_False_0 )
[5/25/2022 10:43:56 AM | 886 ms] : ( d3_18.48421_False_0 )
[5/25/2022 10:43:56 AM | 902 ms] : ( d4_340.4605_False_0 )
[5/25/2022 10:43:56 AM | 918 ms] : ( d5_590.1321_False_0 )
[5/25/2022 10:43:56 AM | 934 ms] : ( d6_4265.118_False_0 )
[5/25/2022 10:43:57 AM |  60 ms] : ( d1_40.13218_False_0 )
[5/25/2022 10:43:57 AM |  75 ms] : ( d2_24.73292_False_0 )
[5/25/2022 10:43:57 AM |  90 ms] : ( d3_34.18584_False_0 )
[5/25/2022 10:43:57 AM | 106 ms] : ( d4_419.7538_False_0 )
[5/25/2022 10:43:57 AM | 122 ms] : ( d5_642.4709_False_0 )
[5/25/2022 10:43:57 AM | 138 ms] : ( d6_12.75904_False_0 )
[5/25/2022 10:43:57 AM | 367 ms] : ( d1_48.94969_False_0 )
[5/25/2022 10:43:57 AM | 384 ms] : ( d2_81.83649_False_0 )
[5/25/2022 10:43:57 AM | 397 ms] : ( d3_33.19524_False_0 )
[5/25/2022 10:43:57 AM | 620 ms] : ( d4_1285.519_False_0 )
[5/25/2022 10:43:57 AM | 631 ms] : ( d5_213.933_False_0 )
[5/25/2022 10:43:57 AM | 647 ms] : ( d6_503.1271_False_0 )
[5/25/2022 10:43:57 AM | 778 ms] : ( d1_19.44123_False_0 )
[5/25/2022 10:43:57 AM | 793 ms] : ( d2_93.35102_False_0 )
[5/25/2022 10:43:57 AM | 809 ms] : ( d3_64.59851_False_0 )
[5/25/2022 10:43:57 AM | 824 ms] : ( d4_1364.812_False_0 )
[5/25/2022 10:43:57 AM | 835 ms] : ( d5_266.2718_False_0 )
[5/25/2022 10:43:57 AM | 850 ms] : ( d6_1026.515_False_0 )
[5/25/2022 10:43:57 AM | 981 ms] : ( d1_22.31987_False_0 )
[5/25/2022 10:43:57 AM | 995 ms] : ( d2_99.10828_False_0 )
[5/25/2022 10:43:58 AM |  11 ms] : ( d3_-62.97226_False_0 )
[5/25/2022 10:43:58 AM |  27 ms] : ( d4_1444.105_False_0 )
[5/25/2022 10:43:58 AM |  37 ms] : ( d5_318.6105_False_0 )
[5/25/2022 10:43:58 AM |  52 ms] : ( d6_1549.903_False_0 )
[5/25/2022 10:43:58 AM | 183 ms] : ( d1_25.1985_False_0 )
[5/25/2022 10:43:58 AM | 199 ms] : ( d2_104.8656_False_0 )
[5/25/2022 10:43:58 AM | 216 ms] : ( d3_-47.27062_False_0 )
[5/25/2022 10:43:58 AM | 231 ms] : ( d4_8.398633_False_0 )
[5/25/2022 10:43:58 AM | 241 ms] : ( d5_370.9493_False_0 )
[5/25/2022 10:43:58 AM | 257 ms] : ( d6_7297.544_False_0 )
[5/25/2022 10:43:58 AM | 388 ms] : ( d1_1.810525_False_0 )
[5/25/2022 10:43:58 AM | 402 ms] : ( d2_110.6228_False_0 )
[5/25/2022 10:43:58 AM | 424 ms] : ( d3_-31.56898_False_0 )
[5/25/2022 10:43:58 AM | 449 ms] : ( d4_631.2815_False_0 )
[5/25/2022 10:43:58 AM | 459 ms] : ( d5_782.0931_False_0 )
[5/25/2022 10:43:58 AM | 475 ms] : ( d6_6184.729_False_0 )
[5/25/2022 10:43:58 AM | 605 ms] : ( d1_50.69004_False_0 )
[5/25/2022 10:43:58 AM | 620 ms] : ( d2_45.84864_False_0 )
[5/25/2022 10:43:58 AM | 636 ms] : ( d3_91.77415_False_0 )
[5/25/2022 10:43:58 AM | 652 ms] : ( d4_710.5747_False_0 )
[5/25/2022 10:43:58 AM | 663 ms] : ( d5_834.4319_False_0 )
[5/25/2022 10:43:58 AM | 679 ms] : ( d6_6708.117_False_0 )
[5/25/2022 10:43:58 AM | 810 ms] : ( d1_53.56868_False_0 )
[5/25/2022 10:43:58 AM | 827 ms] : ( d2_51.6059_False_0 )
[5/25/2022 10:43:58 AM | 859 ms] : ( d3_58.3897_False_0 )
[5/25/2022 10:43:58 AM | 891 ms] : ( d4_362.0472_False_0 )
[5/25/2022 10:43:58 AM | 916 ms] : ( d5_440.7605_False_0 )
[5/25/2022 10:43:58 AM | 932 ms] : ( d6_2771.402_False_0 )
[5/25/2022 10:43:59 AM |  92 ms] : ( d1_16.3853_False_0 )
[5/25/2022 10:43:59 AM | 128 ms] : ( d2_69.24091_False_0 )
[5/25/2022 10:43:59 AM | 160 ms] : ( d3_106.4852_False_0 )
[5/25/2022 10:43:59 AM | 248 ms] : ( d4_1196.339_False_0 )
[5/25/2022 10:43:59 AM | 251 ms] : ( d5_155.0686_False_0 )
[5/25/2022 10:43:59 AM | 268 ms] : ( d6_9914.482_False_0 )
[5/25/2022 10:43:59 AM | 403 ms] : ( d1_16.20369_False_0 )
[5/25/2022 10:43:59 AM | 417 ms] : ( d2_86.87593_False_0 )
[5/25/2022 10:43:59 AM | 432 ms] : ( d3_46.93919_False_0 )
[5/25/2022 10:43:59 AM | 448 ms] : ( d4_1275.632_False_0 )
[5/25/2022 10:43:59 AM | 457 ms] : ( d5_207.4073_False_0 )
